headlines,article_clean,summary_clean,generated_summary,rouge1,rouge2,rougeL,generated_wc,summary_wc
Samsung denies report of selling refurbished Galaxy Note 7,"If you are a Samsung Galaxy Note fan, you were waiting to hear these words -- Note 7 will be sold in India. Despite all the bad whether it went through before being laid to the grave, Note 7 might come back from the dead; it has to if the company is to minimize losses and environmental penalties incurred in disposal of close to 3 million devices.Update: Samsung has denied that it has any plans to sell refurbished Galaxy Note 7 units in India. ""The report on Samsung planning to sell refurbished Galaxy Note 7 smartphone in India is incorrect,"" said a Samsung India spokesperson, without offering any other details. Korean website Hankyung reports the Galaxy Note 7 is due for a resurrection in select places -- Vietnam, India and probably South Korea. Samsung Electronics will finalise the designs by May this year and will go on sale in June (expected). Several changes will be made to the phone.Also Read: Galaxy Note 7 exploded due to battery, confirms Samsung Samsung initially announced a recall of some 2.5 million Note 7 phones in September and identified the cause of the fire as a manufacturing process problem at one of its suppliers, but new Note 7s with what Samsung said were safe batteries from a different supplier continued to catch fire.But it was only after a complete recall and ""in-depth"" analysis of the cause did it make out that it was not the battery material, but the way the battery was shaped to fit in the chassis that caused the short circuit.Now, Samsung will be redesigning both the battery and the chassis. The battery is said to be of a lower capacity -- about 3000mAh, and if Samsung is redesigning the chassis, it might not support a dual curved screen. But it will be called refurbished and the price expected should be considerably cheaper.",South Korean tech giant Samsung has refuted a report that claimed the company plans to sell refurbished units of the Galaxy Note 7 in India. The report had said that Samsung had slightly redesigned the phone and placed a smaller battery to prevent explosions. Samsung released the findings of its internal investigation into the Galaxy Note 7 explosions last month.,Samsung has denied that it has any plans to sell refurbished Galaxy Note 7 units in India. Samsung initially announced a recall of some 2.5 million Note 7 phones in September and identified the cause of the fire as a manufacturing process problem at one of its suppliers.,0.45871559633027525,0.18691588785046728,0.3302752293577982,48,60
PWD approves flyover in Ghaziabad's Raj Nagar Extension,"The public works department (PWD) has cleared the proposal for the construction of a flyover over the erstwhile NH-58 near Raj Nagar Extension (RNE). After NH-58 was denotified as a highway last year, it was assigned as other district road to the PWD as per a state government notification in June.Due to massive inflow of traffic on the Ghaziabad-Meerut Road (erstwhile NH-58), officials of the Ghaziabad Development Authority (GDA) had proposed the construction of a flyover and also altered the design, by making it a split-type flyover, as the regional rapid transit system (RRTS) corridor passes through the median of the road. We have given clearance for the project to the GDA. They will have to prepare a service lane in the area and also have to take care of the piped gas line that passes through the area. They will make use of additional land in the vicinity and also remove encroachments. We also reviewed their traffic plan and have given them the permission after a thorough study, said Manish Verma, executive engineer, PWD. We also checked the RRTS alignment and had also asked them to take permission from the agency concerned. The clearance was given on a review of the traffic regulation plan and provision for the RRTS alignment. We are also planning to make the road a state highway and will send a proposal to the government. This is because the volume of traffic has remained the same despite the road being denotified as a highway, he said.The proposed flyover, spanning 538 metres, is pegged at Rs50 crore and its design was changed from combined six-lane to three-lane (each side) split-type one. The middle portion between the two lanes will be used for the RRTS, which will come up on an elevated section, like the metro train system.The authority had proposed the flyover to decongest the city roads as a heavy volume of traffic is witnessed at the intersection. The design for the flyover has been approved by the RRTS agency. The flyover design report is waiting to be vetted by IIT, Roorkee. The UP state bridge corporation is the construction agency. Once the design is vetted, the flyover construction can be started. We have received clearances from PWD for the project, said Chakresh Jain, executive engineer, GDA.The authority has also proposed a flyover in Vasundhara, over the Link Road. Officials said that the proposed design is not in conflict with the RRTS alignment and pegged the cost at Rs50 crore.","The Public Works Department (PWD) has approved the construction of a flyover costing 50 crore near Ghaziabad's Raj Nagar Extension. The flyover, proposed by the Ghaziabad Development Authority (GDA), is aimed at decongesting the city roads. The construction of this 538-metre-long split-type flyover will begin after its modified design report is vetted by IIT Roorkee.","The proposed flyover, spanning 538 metres, is pegged at Rs50 crore. The flyover design report is waiting to be vetted by IIT, Roorkee. Once the design is vetted, the flyover construction can be started.",0.4516129032258065,0.17582417582417584,0.27956989247311825,34,55
July 1 to be observed as GST Day: CBEC,"New Delhi, Jun 30 (PTI) As India transits to a new era with rollout of GST, the government is leaving no stone unturned for a smooth switchover and has asked tax offices to convert into GST Seva-Kendras to provide all assistance to tax payers. While the rollout day of July 1 will be known as GST Day, all the offices of the Central Board of Excise and Customs (CBEC) have been instructed to be open on Saturday as a trade facilitation measure. This was to enable the availability of officers and staff for the benefit of trade and industry, an order issued by CBEC Special Secretary and Member S Ramesh said. ""Henceforth, all field offices from the Chief Commissioners office to the Range should serve as GST Seva- Kendras for effective trade facilitation,"" it said. Apart from giving guidance to GST assessees, GST Seva Kendras should render assistance to taxpayers in migration, registration as well as filing of returns. A guidance manual for such GST Seva Kendras too has been circulated to all offices in a bid to standardise quality taxpayer services. The order instructed such manuals to be prepared for each zone operating at different levels. ""This work may be done in a time-bound manner so as to be completed in next 2-3 days,"" Ramesh wrote. CBEC also asked for strengthening of the GST Seva-Kendras to enable them discharge their functions effectively and promptly. In the run-up to the GST rollout, CBEC had organised outreach programmes and training sessions for the new regime.","The Central Board of Excise and Customs (CBEC) on Friday announced that July 1 will be known as GST Day . It will be celebrated in all offices of CBEC just like in case of Central Excise Day and International Customs Day, the board said. This comes ahead of the launch of GST, which is scheduled for July 1.",All the offices of the Central Board of Excise and Customs (CBEC) have been instructed to be open on Saturday as a trade facilitation measure. This was to enable the availability of officers and staff for the benefit of trade and industry.,0.42000000000000004,0.18367346938775508,0.28,42,58
Maruti spare parts trigger bomb scare at Delhi airport,"New Delhi, Aug 2 (PTI) Bomb squads and canine teams were today rushed in to check a suspect object that was recovered at the cargo hold area of the IGI airport here, later declared safe after it was found that the consignment only contained some auto spare parts. CISF Director General O P Singh said the ""suspect item has been declared safe and there is nothing to worry about"". At 7.15 am, an X-ray image of a consignment of Maruti spare parts raised suspicion among the staff of the domestic cargo terminal, according to sources in the Bureau of Civil Aviation Security (BCAS). The terminal staff immediately alerted the CISF, who along with a team of BCAS and a bomb detection and disposal squad rushed to the spot.","Bomb squads and canine teams were rushed to check a package recovered in the cargo hold area of Delhi airport on Wednesday. Officials later declared the area safe, adding, ""the suspect item was nothing but some spare parts of company Maruti."" Its X-ray image had raised suspicion among airport staff.","X-ray image of a consignment of Maruti spare parts raised suspicion among the staff of the domestic cargo terminal. Terminal staff immediately alerted the CISF, who along with a team of BCAS and a bomb detection and disposal squad rushed to the spot.",0.48421052631578954,0.1290322580645161,0.16842105263157894,43,50
Flipper taught by Warne got me Warner's wicket: Kuldeep,"Newcomer Kuldeep Yadav picked up four wickets on debut to help India skittle out Australia for 300 in their first innings on the opening day of the fourth and final Test in Dharamsala on Saturday. (Dharamsala Test, Day 1 Highlights | Scorecard)It was a dream debut for the 22-year-old Kuldeep, who had waited patiently in the wings this entire series. He couldn't control his emotions after he made David Warner his first victim on the big stage. A fired-up Kuldeep then removed Peter Handscomb, Glenn Maxwell and Pat Cummins to enjoy his maiden outing in Team India whites at the Himachal Pradesh Cricket Association Stadium. (Stats: Kuldeep Yadav, Steve Smith smash records in Dharamsala Test)Kuldeep, who finished with 4/68, has an armoury loaded with the wrong 'uns, flippers and chinaman. He fired the right weapons at the right time to provide important breakthroughs. (Dream-come-true, couldn't have asked for more: Kuldeep Yadav)He revealed that he has learnt a few tricks of the trade from the Aussie spin wizard Shane Warne and it was great to get his countryman with one of those.""Aapne pehla wicket dekha hoga woh chinaman nahin tha. Vo flipper tha, maine unhi (Shane Warne) se seekha tha. Unhi se seekha aur unhi ke batsman ko out karna to obviously acchi si cheez hai. (""Did you see the first wicket (that of David Warner) That was not a chinaman. It was a flipper which I learnt from Shane Warne. So learning from Warne and then getting out his countryman is a nice feeling,"" said Kuldeep as the conference room burst out in laughter hearing this.What kind of notes did @imkuldeep18 take from @ShaneWarne The Chinaman gives a funny twist to it #TeamIndia#INDvAUSpic.twitter.com/5Yy1x0oIzh""My idol is Warne and I have followed him since my childhood. I only watch his videos and it was a dream-come-true when I met him. I could not believe I was speaking to my idol and sharing my thoughts on bowling and what all I should be doing. I did exactly what he (Warne) told me to do. He has promised that he will have another session with me in near future,"" he added. (Ashwin breaks Steyn's record)","Indian spinner Kuldeep Yadav, who registered 4/68 on his debut on Saturday, said that the flipper variation taught to him by Australian legend Shane Warne got him David Warner's wicket, his international career's first wicket. Kuldeep was taken to Warne by coach Anil Kumble for a session. Later, Australia's Matthew Wade said that Yadav's variations were hard to pick up.","Kuldeep Yadav picked up four wickets on debut to help India skittle out Australia for 300 in their first innings on the opening day of the fourth and final Test in Dharamsala on Saturday. The 22-year-old Kuldeep, who finished with 4/68, has an armoury loaded with the wrong 'uns, flippers and chinaman.",0.31666666666666665,0.06779661016949153,0.13333333333333333,52,60
Pak-origin London Bridge terrorist buried in secret: Report,"The Pakistani-origin terrorist behind the London Bridge terror attack, Khuram Shazad Butt, has been buried in secret after a number of cemeteries in the UK refused to accept the body, a media report said on Sunday.A relative of the 27-year-old drove his body to a graveyard near the family home in East London recently where he was buried without any rites or mourners, the Sunday Mirror reported. The family are distraught with what he did but he is still their son and brother. His mother is not in a good way health-wise after what has happened so it was decided she should not attend, the newspaper quoted a source as saying.The family feared any ceremony could be too traumatic and draw negative attention.Butt s friends and associates were not notified of the burial.Butt was the ringleader of the attack in London Bridge and nearby Borough Market last month.He and two others drove a van into pedestrians before stabbing and slashing revellers enjoying a night out.Seven victims died, dozens were hurt and Butt and the two other terrorists were shot dead.Butt became radicalised after watching hate preachers on YouTube before becoming linked to Al Muhajiroun, the banned extremist group whose leader, Anjem Choudary, is in jail and now moved to an isolation unit.","The Pakistani-origin terrorist behind the London Bridge terror attack, Khuram Butt, has reportedly been buried in secret without any rites or mourners after a number of UK cemeteries refused to accept the body. Butt masterminded the June attack in which he drove a van into pedestrians and stabbed people with a knife, killing eight and injuring 48 others.",Khuram Shazad Butt was the ringleader of the London Bridge terror attack. A relative drove his body to a graveyard near the family home in East London. The family feared any ceremony could be too traumatic and draw negative attention.,0.3838383838383838,0.08247422680412371,0.22222222222222224,40,58
Half of all Australian university students harassed: Report,"8.11am BST 08:11 That brings our coverage of the AHRC s landmark survey to a close.Here are the report s main points:Submissions from survivors themselves told us how:Universities have promised to implement the report s recommendations, but given how vocal advocates have been of past institutional failures , the strength of their response and the timeline of implementation will be something to keep an eye on.Updated at 8.16am BST 8.00am BST 08:00 Here s a final submission from someone who used to work as a residential tutor, who contacted Guardian Australia anonymously to share their story:I was working in one of the residential colleges as a member of the staff, and was supporting a student through a case of sexual assault. It was escalated to the university and an internal investigation was conducted (I was not involved in the investigation, but sat in during the interviews). Basically, it was a case of the student s word against the perpetrator s and therefore the university concluded that there was not enough evidence to take any action. Based on our experience and from the testimonies given by both sides, my colleagues at the college who were involved in supporting the student and I knew that the victim s account is more likely to be true than not, but we could not do anything without proof. And because the report came back without any conclusive result, we could not take any official action against the perpetrator. It was frustrating and I felt that we had truly let the victim down. To make it worse, the victim and the alleged perpetrator had to remain staying in the same college till the end of the year.Updated at 8.03am BST 7.54am BST 07:54 Some personal stories from Twitter that have been shared with my colleague Calla Wahlquist. All have been published with their permission. As undergrads, my classmates & I were harassed & stalked by the same student. He followed us & did PUA experiments on us 'for his writing'.@callapilla pic.twitter.com/7FHtaZ58fr 7.45am BST 07:45 The universities often actually make it worse Here s a video from Fair Agenda featuring speakers from End Rape on Campus, Hunting Ground Australia and student councils. They speak a bit more about how university processes let students down, either by acting too slowly or not at all. As we ve seen in the report, there are a number of barriers that contribute to the damning statistic that only 4% of students believe their universities are doing enough.Updated at 7.51am BST 7.33am BST 07:33 Here s some more on methodology. The End Rape On Campus ambassador, Nina Funnell, has criticised the final report for scaling back its own sample size from an earlier census-esque proposal.The original survey was planned for all 1.3 million Australian university students but was reduced and only sent to 300,000, according to Funnell. Of those 300,000, only 31,000 answered. Perhaps the response rate would have been higher had the AHRC not trusted universities to select when to send the survey out, she said. Left to their own devices many of the universities sent the survey out during student exams when students have more pressing concerns. Updated at 7.44am BST 7.22am BST 07:22 In a lecture theatre of 100 students, two have been sexually assaulted. Here s the sex discrimination commissioner, Kate Jenkins, talking through the report s findings this morning.She said one in five students had been sexually harassed in a university setting last year, with women twice as likely as men to be sexually harassed and three times as likely to be sexually assaulted.It s also worth noting that Jenkin s hypothetical lecture theatre example only counts on-campus incidents of assault. If we count all incidents, that number rises to seven students out of 100, and one in 10 for female students.Updated at 7.43am BST 6.55am BST 06:55 Today s report has been criticised by some advocates for implying that universities only have an obligation to deal with incidents that happen in a university setting either on campus or at a university event. But the co-women s officer at the University of Sydney, Imogen Grant, told Guardian Australia today that assaults that occur outside of university grounds can still be reported to universities because they involve student perpetrators.She says we should keep in mind that student offenders can be disciplined by their university: Most incidents of assault occur around the broader university community, in share houses and at social events.But the perpetrators are still fellow students. And if the perpetrator is a fellow student, you can report that to the university and you can expect disciplinary action as well.It s also an issue raised by End Rape On Campus ambassador Nina Funnell, who said in today s media conference that the report s 10-point plan had no recommendations for improving disciplinary proceedings against offenders. In response, the chair of Universities Australia, Prof Margaret Gardner, said she had begun a conversation with universities about new misconduct proceedings. Here s a submission from the report itself that claims this issue has been overlooked:A woman who was sexually assaulted on numerous occasions by her intimate partner, a fellow university student, was told the university had no power to do anything, because none of it occurred on-campus .She felt that the university should have taken action, because she was aware of the perpetrator sexually assaulting at least two other women at her university. Updated at 7.06am BST 6.29am BST 06:29 Calla WahlquistAt some point in the pub crawl, usually on the walk between pubs two and three, one of the guys at the front of the group would tip their head back and start singing: I wish all the women. It s a classic rhyming song, where the lead singer makes observations like, I wish all the women/were waves in the ocean/and if I was a surfer/I d ride them with my motion, and everybody else sings it back. By the train ride home even the most devoted singers would have run out of verses and switched to Beastiality is best . The hook is everybody chanting: Beastiality is best, boys, beastiality is best. Fuck a wallaby! My two years living at a residential college at an Australian university were some 10 years ago now, so I can only remember what we were supposed to do to an owl.Details about the culture of sexual harassment and prevalence sexual assault at residential colleges contained in the AHRC report were appalling, but they did not surprise me. That s just O-week. We had a golden bed springs award. I liked living at college. I was new to the city and did not know anyone and at college I had ready-made friends, some of whom remain close friends now. It s only later that you think about what happened and realise it s not normal. The Eagle Rock thing We did that. There was a weekly newsletter about who had slept with who. Everyone told rape jokes. We drank so much we couldn t move. People who did not join in were ostracised. I remember one occasion where a woman from another hall said she had been raped from a male from our hall. The universal judgment was that she was a slut, she was just making it up. Women did that all the time, didn t they Updated at 6.48am BST 6.23am BST 06:23 As mentioned earlier today, only 9% of students who had been sexually assaulted on their campus reported the attack to their university. Here are some examples, in survivors own words, of why they decided not to pursue the perpetrators of their assault or harassment. Multiple submissions said they were deterred by their university s failure to provide anonymous reporting:Our cohort for our course is incredibly small. I felt too scared to report these incidents. I couldn t have action taken against him because everyone would find out.Another student had their identity disclosed to their rapist s friends: The university broke confidentiality by informing organisers of the camp (i.e: the rapist s friends) what I d done. People spread lies about me and I was ostracised from the club.Another said the university forced them into a process of face-to-face mediation with their harasser:When I complained to the head of school I had a mediation session with the professor who was harassing me ... he stormed out and slammed the door. He wasn t told to change his behaviour, the mediation session was all that was done.For many respondents there was always an underlying social pressure not to report, stemming from a fear of being ridiculed, ostracised or shamed for not doing enough. Said one: It was my word against his. He s known as being a really nice friendly guy so I didn t think a lot of people would believe me or care.Updated at 6.45am BST 5.59am BST 05:59 Calla WahlquistI m going to hand over the reins to my colleague Naaman Zhou, who was at the launch in Sydney today.Updated at 6.14am BST 5.30am BST 05:30 Residential colleges at Australian universities are full of students from regional and remote areas, as well as international students, many of whom are living away from home for the first time. They re usually co-ed.They re also one of the highest risk places on campus for sexual assault and sexual harassment, according to the AHRC survey. Twelve per cent of women and 3% of men who were sexually assaulted at a university in 2015 and 2016 said it had occurred at a residential college.The report found that hazing practices at colleges often involved excessive alcohol consumption and humiliating or degrading acts, and, in many cases, sexual harassment and sexual assault .According to one submission:The aim is to get the freshers as drunk as possible. Maybe a secondary aim is to make them look as ridiculous and embarrassing as possible, giving them costumes, props, and even sometimes smearing food all over them.Said another:You had to participate, there was nothing you could do about it. The administration knew about this and they condoned this. The students had no power whatsoever, you couldn t say anything. Hazing practices described in the report included getting female students to run the gauntlet , which meant running down a hallway where male students stood in every doorway with the nozzle of a cask of wine sticking out their fly. Female students were required to kneel before each male resident and drink from his sack .Another college had a ritual where all first-year female students had to remove their top when a certain song was played. They would be surrounded by male students and unable to leave the dance floor with their top still on. Other submissions described year-round traditions that focused on residents sexual exploits.Conquests of guys getting girls from other colleges were broadcasted weekly in this gossip session the whole college had, where you would submit your experiences to an executive, and on weeknights we would gather and hear about everyone s conquests that week ... women were described as objects or trophies. The report also found that power relationships between resident advisers usually senior students and first-year students, as well as the close proximity created by living in residential colleges and the easy access to both alcohol and bedrooms, were contributing factors in the high rates of sexual assault. Updated at 5.52am BST 5.14am BST 05:14 In addition to the survey data, the report contains details from almost 2,000 written submissions, mostly from students and former students sharing their experiences of sexual assault and harassment.Some said they dropped out of university to avoid bumping into their attacker.One person wrote:I left the course and tried studying by distance education but have now been so traumatised by higher education institutions that I don t feel able to set foot into study again.Said another:He delayed my education by a year and made me afraid to go to uni and at the time I truly didn t see how bad the impact he was having on me, not even when I dropped out.The release of the report prompted other people to share their stories. This tweet is posted with the author s permission.The reality of sexual assault and feeling unheard/unwelcome was one of the main reasons I dropped out of my phys/chem undergraduate degree.Updated at 5.17am BST","More than half of university students in Australia were sexually harassed at least once in 2016, according to a Human Rights Commission survey. With over 30,000 responses registered across the country, it was found that women experienced harassment and assaults at higher rates than men. The survey was conducted amid claims that universities were responding poorly to sexual assault incidents.","Universities have promised to implement the report s recommendations, but given how vocal advocates have been of past institutional failures, the strength of their response will be something to keep an eye on. In a lecture theatre of 100 students, two have been sexually assaulted. One in five students had been sexually harassed in a university setting last year, with women twice as likely as men to be sexually harassed and three times as likely to be assaulted.",0.31654676258992803,0.043795620437956206,0.18705035971223022,78,60
Trump knows India is 'force for good' in world: US officials,"official (EDS: Incorporating Modi visit series) By Lalit K Jha Washington, Jun 24 (PTI) On the eve of Prime Minister Narendra Modis US visit, the Trump administration has dismissed reports that it has been ignoring India, saying President Trump realises that the country has been a ""force for good"" in the world and ties with it were important. ""I think that it would be wrong to say that this administration has been ignoring or not focused on India,"" a senior administration official told reporters ahead of the two-day Modi visit from June 25. The Prime Minister would meet President Donald Trump face-to-face for the first time at the White House on Monday. ""I think that the US really appreciates India, and I think that President Trump realises that India has been a force for good in the world and that its a relationship thats important. And I think that will come through in the visit on Monday,"" the official said. The senior administration official made the remarks while responding to questions on whether the US-India relationship has drifted under the new government, in part, because of President Trump and the administrations support to China. ""I think its a bit unfair. I mean, were only six months into the administration. But there have been two very good phone calls between President Trump and Prime Minister Modi that you can point to as showing both countries interest in the relationship,"" the White House official argued. ""Yes, this will be the first opportunity for them to sit down and have a conversation, but I think that this is still fairly early on in the administration,"" the official said. Meanwhile, White House Press Secretary Sean Spicer said President Trump and Prime Minister Modi would have a very robust discussion when they meet at the White House. ""During the meeting, the President and the Prime Minister will discuss ongoing cooperation, including counter-terrorism, defence partnership in the Indo-Pacific region, global cooperation, burden-sharing, trade, law enforcement, and energy,"" Spicer said in response to a question. Senator Mark Warner, Co-Chair of the Senate India Caucus hoped that Trump, in his meeting with Prime Minister Modi, shows enthusiastic support for deepening the US-India relationship, which enjoys strong bipartisan support. ""The relationship is ripe for additional cooperation in areas such as the development of aircraft carrier technology, space surveillance, unmanned aerial vehicles, cyber and increased defense manufacturing,"" Warner said. ""As we venture further into the Asian Century, there is little doubt of the increasing significance of India on the world stage. Our cooperation helps increase global security and advance economic opportunity in both countries,"" Warner said in response to a question. On whether the contentious H-1B visa issue would come up for discussion during the meeting, a senior administration official said it was unlikely to be raised from the US side but if raised by the Indian side, the Americans were ready for it. Ahead of the visit, Indian Ambassador to the US Navtej Sarna said the first face-to-face meeting between Prime Minister Modi and President Trump will give them an opportunity to look at the entire gamut of Indo-US engagement and to exchange views on issues of global interest. At the invitation of Trump, the Prime Minister would spend several hours with the US President at the White House on Monday afternoon, which would end with a dinner later that night. This would be the first working dinner being hosted by Trump for a foreign leader at the White House. ""I think that just shows the amount of care that has gone in on the part of the White House to welcome our Prime Minister and the kind of planning that has gone into make this a very special visit,"" Sarna said. ""This (dinner) is a special gesture and it is appreciated,"" he said. On the agenda of the meeting, a senior administration official told reporters that the civil nuclear deal would be part of the discussions between Prime Minister Modi and President Trump. The White House also emphasised that the US was looking forward to its nuclear reactors contributing to Indias energy security. It said the US is interested in providing India with the kind of defence technology it normally reserves for its closest allies, signalling the Trump administrations resolve to strengthen the bilateral defence relationship. Meanwhile, Secretary of State Rex Tillerson met Foreign Secretary S Jaishankar here and told him that Prime Minister Modis Washington visit would strengthen the Indo-US relationship and help advance the common interest in fighting terrorism and promoting economic growth. The two agreed that the two countries have a deep and growing strategic partnership and hope to work more closely on regional and global issues. Jaishankar also met other senior officials at the State Department. Ahead of his visit, Modi yesterday said he looked forward to the opportunity of having an in-depth exchange of views. ""My USA visit is aimed at deepening ties between our nations. Strong India-USA ties benefit our nations & the world,"" he tweeted.","On the eve of Indian PM Narendra Modi's US visit, President Donald Trump's administration has said that the President realises India has been a ""force for good"" in the world and ties with it are important. ""It would be wrong to say that this (US) administration has been ignoring India,"" officials added. Notably, this will be the first Trump-Modi meeting.","President Trump realises that India has been a ""force for good"" in the world, a senior administration official said. The Prime Minister would meet President Donald Trump face-to-face for the first time at the White House on Monday.",0.5436893203883495,0.23762376237623759,0.3300970873786408,38,60
Song penned by Dutt in jail to be used in his film: Reports,"Jail has made Sanjay Dutt a changed man, and as it turns out, a poet as well.While the Munna Bhai actor was in Yerwada jail, he penned a number of poems, one of which called O Meri Aangan Ki Chidiya Hai Tu will be used in his upcoming film Torbaaz.Sanjay Dutt is playing an army officer in Torbaaz, directed by Girish Malik. The film set in Afghanistan is an action thriller and revolves around the phenomenon of young children being indoctrinated to think that there is glory awaiting in afterlife after killing for virtuous reasons. This is the first time an Indian film will deal with the theme of child soldiers.According to a report in Mumbai Mirror, the producer of Torbaaz got emotional when he heard the song O Meri Aangan Ki Chidiya Hai Tu at Sanjay Dutt's residence.""Girish and I had gone to meet Sanju in Agra where he is filming Bhoomi. He hummed a few songs he had penned when he was in prison. He has a scratch version recorded and I was touched by one particular song. O Meri Aangan Ki Chidiya Hai Tu is about a father-daughter relationship. It's beautifully written and is relevant to our film as Sanju's character loses his child. I got very emotional when I heard it and told him we would like to use it in Torbaaz. He readily agreed,"" Torbaaz producer Rahul Mittra was quoted as saying.In fact, while he was in jail, Sanjay Dutt wrote songs across genres including some romantic numbers and qawwalis.Sanjay Dutt has previously lent his voice to a number of songs throughout his career. Some of the most popular ones are Aye Shivani from Khoobsurat, the title track of Chal Mere Bhai and Samjho Ho Hi Gaya from Lage Raho Munna Bhai.","According to reports, a song penned by actor Sanjay Dutt while he was in prison will be used in his upcoming film 'Torbaaz'. ""[The song] is about a father-daughter relationship. It's...relevant to our film as Sanju's character loses his child,"" the film's producer was quoted as saying. Dutt will be playing an army officer in the Girish Malik-directorial 'Torbaaz'.","The Munna Bhai actor penned a number of poems, one of which will be used in his upcoming film Torbaaz. O Meri Aangan Ki Chidiya Hai Tu is about a father-daughter relationship.",0.3673469387755102,0.25,0.30612244897959184,32,59
Mishra submitted no concrete proof against Kejriwal: ACB,"After Kapil Mishra submitted 'documents' to the ACB to back his allegations, highly-placed sources in the agency said all the papers submitted by him are useless.A senior ACB official said, ""Mishra had submitted a summary drafted by him about the tanker scam, resubmitted documents he had earlier submitted and enclosed a cover letter with these two documents. No concrete evidence or document has been submitted to ACB."" Mishra, who had earlier 'briefed' L-G Anil Baijal about the tanker scam, said on Monday that he had shared all evidence related to the same with ACB. ""I told officials how Kejriwal deliberately delayed the report and how public money was misused.""""I also told them how Kejriwal, along with two of his aides, interfered in the tanker scam probe. The government also tried to shield Sheila Dikshit time and again,"" he told reporters after the meeting.Also Read:Kapil Mishra submits proof against Arvind Kejriwal, aides on water tanker scam, seeks time with CBI","The Anti-Corruption Bureau (ACB) has said ex-Delhi Minister Kapil Mishra has submitted no concrete evidence against CM Arvind Kejriwal, a report stated. ""Mishra had submitted a summary drafted by him about the tanker scam, resubmitted documents he had earlier submitted,"" an ACB official reportedly said. Mishra has alleged he saw Delhi Minister Satyendar Jain giving 2 crore to Kejriwal.","After Kapil Mishra submitted 'documents' to the ACB to back his allegations, highly-placed sources in the agency said all the papers submitted by him are useless. A senior ACB official said, ""Mishra had submitted a summary drafted by him about the tanker scam, resubmitted documents he had earlier submitted""",0.5405405405405406,0.36697247706422015,0.4144144144144144,49,59
